# Thai words with more than one recorded reading (WikiPron), most frequent first.
# class: sandhi = linking form inside a Pali/Sanskrit compound (positional, the
#   dictionary already carries it on the compound); tone-only / vowel-length =
#   two accepted transcriptions of one word; letter-names = the spelling-out
#   reading; REVIEW = none of those, so possibly a true heteronym.
# Only REVIEW rows need a human. For each, say whether the two readings mean
#   DIFFERENT things (write y) or are both acceptable for the same word (n),
#   and if y, list words that signal the second reading.
freq	word	class	ours	readings	different_meaning	cue_words
22538	นคร	REVIEW	na˦˥kʰɔːn˧	na˦˥kʰa˦˥ra˦˥ | na˦˥kʰɔːn˧		
22199	ร	sandhi	rɔː˧	rɔː˧ | rɔː˧rɯa̯˧		
21652	ท	sandhi	tʰɔː˧	tʰɔː˧ | tʰɔː˧tʰa˦˥haːn˩˩˦		
21511	ฟ	sandhi	fɔː˧	fɔː˧ | fɔː˧fan˧		
20482	ผลิต	sandhi	pʰa˨˩lit̚˨˩	pʰa˨˩lit̚˨˩ | pʰa˨˩lit̚˨˩ta˨˩		
20289	ม	sandhi	mɔː˧	mɔː˧ | mɔː˧maː˦˥		
19803	ว	sandhi	wɔː˧	wɔː˧ | wɔː˧wɛːn˩˩˦		
19651	ประวัติศาสตร์	REVIEW	pra˨˩wat̚˨˩ti˨˩saːt̚˨˩	pra˨˩wat̚˨˩saːt̚˨˩ | pra˨˩wat̚˨˩ti˨˩saːt̚˨˩		
19563	จบ	letter-names	tɕop̚˨˩	tɕop̚˨˩ | tɕɔː˧bɔː˧		
17356	เอส	vowel-length	ʔeːs˦˥	ʔes˦˥ | ʔeːs˦˥		
17267	อาการ	sandhi	ʔaː˧kaːn˧	ʔaː˧kaːn˧ | ʔaː˧kaː˧ra˦˥		
16664	ซ	sandhi	sɔː˧	sɔː˧ | sɔː˧soː˥˩		
16289	สังคม	sandhi	saŋ˩˩˦kʰom˧	saŋ˩˩˦kʰom˧ | saŋ˩˩˦kʰom˧ma˦˥		
15716	อักษร	sandhi	ʔak̚˨˩sɔːn˩˩˦	ʔak̚˨˩sɔːn˩˩˦ | ʔak̚˨˩sɔː˩˩˦ra˦˥		
15373	เจ้าชาย	vowel-length	tɕaːw˥˩tɕʰaːj˧	tɕaw˥˩tɕʰaːj˧ | tɕaːw˥˩tɕʰaːj˧		
15230	สาร	sandhi	saːn˩˩˦	saːn˩˩˦ | saː˩˩˦ra˦˥		
15022	ป	sandhi	pɔː˧	pɔː˧ | pɔː˧plaː˧		
15007	รัฐมนตรี	tone-only	rat̚˦˥tʰa˨˩mon˧triː˧	rat̚˦˥tʰa˧mon˧triː˧ | rat̚˦˥tʰa˨˩mon˧triː˧		
14628	กรม	sandhi	krom˧	krom˧ | krom˧ma˦˥		
14464	ฐาน	sandhi	tʰaːn˩˩˦	tʰaːn˩˩˦ | tʰaː˩˩˦na˦˥		
14364	สาธารณรัฐ	tone-only	saː˩˩˦tʰaː˧ra˦˥na˦˥rat̚˦˥	saː˩˩˦tʰaː˧ra˦˥na˦˥rat̚˦˥ | saː˩˩˦tʰaː˧ra˧na˦˥rat̚˦˥		
14356	เทพ	sandhi	tʰeːp̚˥˩	tʰeːp̚˥˩ | tʰeːp̚˥˩pʰa˦˥		
14221	รถ	REVIEW	rot̚˦˥	ra˦˥tʰa˨˩ | rot̚˦˥		
13547	เยอรมนี	REVIEW	jɤː˧ra˦˥ma˦˥niː˧	jɤː˧ma˦˥niː˧ | jɤː˧ra˦˥ma˦˥niː˧		
13518	ย	sandhi	jɔː˧	jɔː˧ | jɔː˧jak̚˦˥		
13477	ชัย	sandhi	tɕʰaj˧	tɕʰaj˧ | tɕʰaj˧ja˦˥		
13301	เจ้าหญิง	vowel-length	tɕaːw˥˩jiŋ˩˩˦	tɕaw˥˩jiŋ˩˩˦ | tɕaːw˥˩jiŋ˩˩˦		
13271	ซิงเกิล	REVIEW	siŋ˧kɤn˥˩	siŋ˧kɤl˥˩ | siŋ˧kɤn˥˩		
13041	ภูมิภาค	REVIEW	pʰuː˧mi˦˥pʰaːk̚˥˩	pʰuːm˧mi˦˥pʰaːk̚˥˩ | pʰuː˧mi˦˥pʰaːk̚˥˩		
12843	บ	sandhi	bɔː˧	bɔː˧ | bɔː˧baj˧maj˦˥		
12765	สยาม	sandhi	sa˨˩jaːm˩˩˦	sa˨˩jaːm˩˩˦ | sa˨˩jaːm˩˩˦ma˦˥		
12737	โบราณ	sandhi	boː˧raːn˧	boː˧raːn˧ | boː˧raːn˧na˦˥		
12668	ธรรม	sandhi	tʰam˧	tʰam˧ | tʰam˧ma˦˥		
12564	ไท	tone-only	tʰaj˧	tʰaj˦˥ | tʰaj˧		
12413	เทคโนโลยี	tone-only	tʰek̚˦˥noː˧loː˧jiː˧	tʰek̚˦˥noː˧loː˧jiː˥˩ | tʰek̚˦˥noː˧loː˧jiː˧		
12335	ประธานาธิบดี	REVIEW	pra˨˩tʰaː˧naː˧tʰi˦˥bɔː˧diː˧	pra˨˩tʰaː˧naː˧tʰip̚˦˥bɔː˧diː˧ | pra˨˩tʰaː˧naː˧tʰi˦˥bɔː˧diː˧		
12307	วิหาร	sandhi	wi˦˥haːn˩˩˦	wi˦˥haːn˩˩˦ | wi˦˥haː˩˩˦ra˦˥		
12272	พล	sandhi	pʰon˧	pʰa˦˥la˦˥ | pʰon˧ | pʰon˧la˦˥ | pʰɔː˧lɔː˧		
12229	เซอร์	tone-only	sɤː˥˩	sɤː˥˩ | sɤː˧		
12167	บรม	sandhi	bɔː˧rom˧	bɔː˧rom˧ | bɔː˧rom˧ma˦˥		
12087	นาม	sandhi	naːm˧	naːm˧ | naːm˧ma˦˥		
12005	ทัพ	sandhi	tʰap̚˦˥	tʰap̚˦˥ | tʰap̚˦˥pʰa˦˥		
11970	ห	sandhi	hɔː˩˩˦	hɔː˩˩˦ | hɔː˩˩˦hiːp̚˨˩		
11140	กรณี	REVIEW	kɔː˧ra˦˥niː˧	ka˨˩ra˦˥niː˧ | kɔː˧ra˦˥niː˧		
10929	เศรษฐกิจ	tone-only	seːt̚˨˩tʰa˨˩kit̚˨˩	seːt̚˨˩tʰa˧kit̚˨˩ | seːt̚˨˩tʰa˨˩kit̚˨˩		
10837	คุณ	sandhi	kʰun˧	kʰun˧ | kʰun˧na˦˥		
10624	อุปกรณ์	REVIEW	ʔu˨˩pa˨˩kɔːn˧	ʔup̚˨˩pa˨˩kɔːn˧ | ʔu˨˩pa˨˩kɔːn˧		
10515	พืช	sandhi	pʰɯːt̚˥˩	pʰɯːt̚˥˩ | pʰɯːt̚˥˩tɕʰa˦˥		
10471	พ	sandhi	pʰɔː˧	pʰɔː˧ | pʰɔː˧pʰaːn˧		
10374	ปกติ	REVIEW	pok̚˨˩ka˨˩tiʔ˨˩	pa˨˩ka˨˩tiʔ˨˩ | pok̚˨˩ka˨˩tiʔ˨˩		
10100	ศตวรรษ	REVIEW	sa˨˩ta˨˩wat̚˦˥	sat̚˨˩ta˨˩wat̚˦˥ | sa˨˩ta˨˩wat̚˦˥		
9934	สัปดาห์	REVIEW	sap̚˨˩daː˧	sap̚˨˩daː˧ | sap̚˨˩pa˨˩daː˧		
9780	สวน	REVIEW	suan˩˩˦	sa˨˩wa˦˥na˦˥ | sua̯n˩˩˦		
9682	รัฐธรรมนูญ	REVIEW	rat̚˦˥tʰa˨˩tʰam˧ma˦˥nuːn˧	rat̚˦˥tʰam˧ma˦˥nuːn˧ | rat̚˦˥tʰa˨˩tʰam˧ma˦˥nuːn˧		
9682	ชน	sandhi	tɕʰon˧	tɕʰon˧ | tɕʰon˧na˦˥		
9584	สม	sandhi	som˩˩˦	sa˨˩ma˦˥ | som˩˩˦ | som˩˩˦ma˦˥		
9335	โอรส	REVIEW	ʔoː˧rot̚˦˥	ʔoː˧ra˦˥sa˨˩ | ʔoː˧rot̚˦˥		
8821	บุญ	sandhi	bun˧	bun˧ | bun˧ja˦˥		
8628	อุตสาหกรรม	sandhi	ʔut̚˨˩saː˩˩˦ha˨˩kam˧	ʔut̚˨˩saː˩˩˦ha˨˩kam˧ | ʔut̚˨˩saː˩˩˦ha˨˩kam˧ma˦˥		
8553	ฉัน	tone-only	tɕʰan˩˩˦	tɕʰan˦˥ | tɕʰan˩˩˦		
8409	อากาศ	sandhi	ʔaː˧kaːt̚˨˩	ʔaː˧kaːt̚˨˩ | ʔaː˧kaːt̚˨˩sa˨˩		
8347	คริสต์	REVIEW	kʰrit̚˦˥	kʰris˦˥ | kʰrit̚˦˥		
8202	ประการ	sandhi	pra˨˩kaːn˧	pra˨˩kaːn˧ | pra˨˩kaː˧ra˦˥		
8164	ธ	sandhi	tʰɔː˧	tʰaʔ˦˥ | tʰɔː˧ | tʰɔː˧tʰoŋ˧		
8058	เอฟ	REVIEW	ʔeːf˨˩	ʔef˦˥ | ʔep̚˦˥ | ʔeːf˦˥ | ʔeːp̚˦˥		
7977	คอมมิวนิสต์	REVIEW	kʰɔm˧miw˧nit̚˦˥	kʰɔm˧miw˧nis˦˥ | kʰɔm˧miw˧nit̚˦˥		
7665	ภรรยา	REVIEW	pʰan˧jaː˧	pʰan˧jaː˧ | pʰan˧ra˦˥jaː˧		
7419	คอมพิวเตอร์	tone-only	kʰɔm˧pʰiw˧tɤː˥˩	kʰɔm˧pʰiw˦˥tɤː˥˩ | kʰɔm˧pʰiw˧tɤː˥˩		
7378	ประชาธิปไตย	REVIEW	pra˨˩tɕʰaː˧tʰip̚˦˥pa˨˩taj˧	pra˨˩tɕʰaː˧tʰip̚˦˥pa˨˩taj˧ | pra˨˩tɕʰaː˧tʰi˦˥pa˨˩taj˧		
7004	สถาน	sandhi	sa˨˩tʰaːn˩˩˦	sa˨˩tʰaːn˩˩˦ | sa˨˩tʰaːn˩˩˦na˦˥ | sa˨˩tʰaː˩˩˦na˦˥		
6852	รัฐสภา	REVIEW	rat̚˦˥tʰa˨˩sa˨˩pʰaː˧	rat̚˦˥sa˨˩pʰaː˧ | rat̚˦˥tʰa˨˩sa˨˩pʰaː˧		
6721	ราม	sandhi	raːm˧	raːm˧ | raːm˧ma˦˥ | raː˧ma˦˥		
6583	ประสาท	REVIEW	pra˨˩saːt̚˨˩	pra˨˩saːt̚˨˩ | pra˨˩saː˩˩˦tʰa˦˥		
6560	เอช	vowel-length	ʔeːtɕʰ˦˥	ʔetɕʰ˦˥ | ʔeːtɕʰ˦˥		
6465	อ่อน	vowel-length	ʔɔːn˨˩	ʔɔn˨˩ | ʔɔːn˨˩		
6445	ศ	sandhi	sɔː˩˩˦	sɔː˩˩˦ | sɔː˩˩˦saː˩˩˦laː˧		
6371	เจ้าของ	vowel-length	tɕaːw˥˩kʰɔːŋ˩˩˦	tɕaw˥˩kʰɔːŋ˩˩˦ | tɕaːw˥˩kʰɔːŋ˩˩˦		
6340	มอน	vowel-length	mɔːn˧	mɔn˧ | mɔːn˧		
6319	สถานการณ์	REVIEW	sa˨˩tʰaː˩˩˦na˦˥kaːn˧	sa˨˩tʰaːn˩˩˦na˦˥kaːn˧ | sa˨˩tʰaː˩˩˦na˦˥kaːn˧		
6256	ประสูติ	REVIEW	pra˨˩suːt̚˨˩	pra˨˩suːt̚˨˩ | pra˨˩suː˩˩˦ti˨˩		
6255	คอนเสิร์ต	vowel-length	kʰɔːn˧sɤːt̚˨˩	kʰɔn˧sɤːt̚˨˩ | kʰɔːn˧sɤːt̚˨˩		
6201	คุณสมบัติ	REVIEW	kʰun˧na˦˥som˩˩˦bat̚˨˩	kʰun˧na˦˥som˩˩˦bat̚˨˩ | kʰun˧som˩˩˦bat̚˨˩		
6143	จิต	sandhi	tɕit̚˨˩	tɕit̚˨˩ | tɕit̚˨˩ta˨˩		
6129	สตรี	REVIEW	sa˨˩triː˧	sat̚˨˩triː˧ | sa˨˩triː˧		
6125	เอก	sandhi	ʔeːk̚˨˩	ʔeːk̚˨˩ | ʔeːk̚˨˩ka˨˩ | ʔeː˧ka˨˩		
6049	แอล	vowel-length	ʔɛːl˧	ʔɛl˧ | ʔɛːl˧		
6033	เซนติเมตร	tone-only	sen˧ti˨˩meːt̚˦˥	sen˧ti˧meːt̚˦˥ | sen˧ti˨˩meːt̚˦˥		
5967	สากล	sandhi	saː˩˩˦kon˧	saː˩˩˦kon˧ | saː˩˩˦kon˧la˦˥		
5901	เพชร	sandhi	pʰet̚˦˥	pʰet̚˦˥ | pʰet̚˦˥tɕʰa˦˥		
5864	จ	sandhi	tɕɔː˧	tɕaʔ˨˩ | tɕɔː˧ | tɕɔː˧tɕaːn˧		
5855	รส	sandhi	rot̚˦˥	rot̚˦˥ | rot̚˦˥sa˨˩		
5658	มงคล	sandhi	moŋ˧kʰon˧	moŋ˧kʰon˧ | moŋ˧kʰon˧la˦˥		
5641	ชม	letter-names	tɕʰom˧	tɕʰom˧ | tɕʰɔː˧mɔː˧		
5624	การปฏิวัติ	tone-only	kaːn˧pa˨˩ti˨˩wat̚˦˥	kaːn˧pa˧ti˧wat̚˦˥ | kaːn˧pa˨˩ti˧wat̚˦˥ | kaːn˧pa˨˩ti˨˩wat̚˦˥		
5577	อุโบสถ	sandhi	ʔu˨˩boː˧sot̚˨˩	ʔu˨˩boː˧sot̚˨˩ | ʔu˨˩boː˧sot̚˨˩tʰa˨˩		
5506	วอลเลย์บอล	REVIEW	wɔl˧leː˥˩bɔl˧	wɔl˧leː˥˩bɔl˧ | wɔn˧leː˥˩bɔn˧		
5462	คณะรัฐมนตรี	tone-only	kʰa˦˥na˦˥rat̚˦˥tʰa˨˩mon˧triː˧	kʰa˦˥na˦˥rat̚˦˥tʰa˨˩mon˧triː˧ | kʰa˧na˦˥rat̚˦˥tʰa˧mon˧triː˧		
5388	ปารีส	REVIEW	paː˧riːt̚˥˩	paː˧riːs˥˩ | paː˧riːt̚˥˩		
5375	นิวยอร์ก	tone-only	niw˧jɔːk̚˦˥	niw˧jɔːk̚˦˥ | niw˧jɔːk̚˨˩		
5321	บอล	REVIEW	bɔn˧	bɔl˧ | bɔn˧		
5266	ไวรัส	REVIEW	waj˧rat̚˦˥	waj˧ras˦˥ | waj˧rat̚˦˥		
5240	อวกาศ	sandhi	ʔa˨˩wa˦˥kaːt̚˨˩	ʔa˨˩wa˦˥kaːt̚˨˩ | ʔa˨˩wa˦˥kaːt̚˨˩sa˨˩		
5212	ภูมิ	sandhi	pʰuː˧mi˦˥	pʰuːm˧ | pʰuːm˧mi˦˥ | pʰuː˧mi˦˥		
5189	อิสราเอล	REVIEW	ʔis˨˩raː˧ʔeːl˧	ʔis˨˩raː˧ʔeːl˧ | ʔit̚˨˩sa˨˩raː˧ʔew˧ | ʔit̚˨˩sa˨˩raː˧ʔeːl˧ | ʔit̚˨˩sa˨˩raː˧ʔeːw˧		
4805	โฆษณา	REVIEW	kʰoː˧sa˨˩naː˧	kʰoːt̚˥˩sa˨˩naː˧ | kʰoːt̚˥˩sa˨˩naː˩˩˦ | kʰoː˧sa˨˩naː˧ | kʰoː˧sa˨˩naː˩˩˦		
4803	ข้าว	vowel-length	kʰaːw˥˩	kʰaw˥˩ | kʰaːw˥˩		
4758	บราซิล	REVIEW	braː˧sil˧	braː˧sil˧ | braː˧siw˧		
4739	ผิว	REVIEW	pʰiw˩˩˦	pʰiw˩˩˦ | pʰi˨˩waʔ˦˥		
4738	คณิตศาสตร์	REVIEW	kʰa˦˥nit̚˦˥ta˨˩saːt̚˨˩	kʰa˦˥nit̚˦˥saːt̚˨˩ | kʰa˦˥nit̚˦˥ta˨˩saːt̚˨˩		
4689	ช่าง	vowel-length	tɕʰaŋ˥˩	tɕʰaŋ˥˩ | tɕʰaːŋ˥˩		
4674	มัธยมศึกษา	REVIEW	mat̚˦˥tʰa˦˥jom˧sɯk̚˨˩saː˩˩˦	mat̚˦˥tʰa˦˥jom˧ma˦˥sɯk̚˨˩saː˩˩˦ | mat̚˦˥tʰa˦˥jom˧sɯk̚˨˩saː˩˩˦		
4627	แหลม	vowel-length	lɛːm˩˩˦	lɛm˩˩˦ | lɛːm˩˩˦		
4622	สระ	REVIEW	saʔ˨˩	saʔ˨˩ | sa˨˩raʔ˦˥ | sa˨˩raʔ˨˩		
4604	สุข	sandhi	suk̚˨˩	suk̚˨˩ | suk̚˨˩kʰa˨˩		
4589	พุทธ	sandhi	pʰut̚˦˥	pʰut̚˦˥ | pʰut̚˦˥tʰa˦˥		
4571	การ์ด	tone-only	kaːt̚˦˥	kaːt̚˦˥ | kaːt̚˨˩		
4445	เจรจา	REVIEW	tɕeː˧ra˦˥tɕaː˧	tɕeːn˧ra˦˥tɕaː˧ | tɕeː˧ra˦˥tɕaː˧		
4426	ศาสตราจารย์	REVIEW	saːt̚˨˩traː˧tɕaːn˧	saːt̚˨˩sa˨˩traː˧tɕaːn˧ | saːt̚˨˩traː˧tɕaːn˧		
4416	กาย	sandhi	kaːj˧	kaːj˧ | kaːj˧ja˦˥		
4397	สุวรรณ	sandhi	su˨˩wan˧	su˨˩wan˧ | su˨˩wan˧na˦˥		
4320	ตรัส	sandhi	trat̚˨˩	trat̚˨˩ | trat̚˨˩sa˨˩		
4313	กรรม	sandhi	kam˧	kam˧ | kam˧ma˦˥		
4284	ถาวร	sandhi	tʰaː˩˩˦wɔːn˧	tʰaː˩˩˦wɔːn˧ | tʰaː˩˩˦wɔː˧ra˦˥		
4276	มูลนิธิ	REVIEW	muːn˧ni˦˥tʰiʔ˦˥	muːn˧la˦˥ni˦˥tʰiʔ˦˥ | muːn˧ni˦˥tʰiʔ˦˥		
4254	เวท	REVIEW	weːt̚˥˩	weːt̚˥˩ | weː˧tʰa˦˥		
4253	ปรัชญา	REVIEW	prat̚˨˩jaː˧	prat̚˨˩jaː˧ | prat̚˨˩tɕʰa˦˥jaː˧		
4236	ประถมศึกษา	REVIEW	pra˨˩tʰom˩˩˦sɯk̚˨˩saː˩˩˦	pra˨˩tʰom˩˩˦ma˦˥sɯk̚˨˩saː˩˩˦ | pra˨˩tʰom˩˩˦sɯk̚˨˩saː˩˩˦		
4151	สุโขทัย	REVIEW	su˨˩kʰoː˩˩˦tʰaj˧	suk̚˨˩kʰoː˩˩˦tʰaj˧ | su˨˩kʰoː˩˩˦tʰaj˧		
4146	เทศ	sandhi	tʰeːt̚˥˩	tʰeːt̚˥˩ | tʰeːt̚˥˩sa˨˩		
4135	นาค	sandhi	naːk̚˥˩	naːk̚˥˩ | naːk̚˥˩kʰa˦˥		
4086	ปัจจัย	sandhi	pat̚˨˩tɕaj˧	pat̚˨˩tɕaj˧ | pat̚˨˩tɕaj˧ja˦˥		
4028	เกียรติ	sandhi	kiat̚˨˩	kia̯t̚˨˩ | kia̯t̚˨˩ti˨˩		
4015	วิญญาณ	sandhi	win˧jaːn˧	win˧jaːn˧ | win˧jaːn˧na˦˥ | win˧jaː˧na˦˥		
4006	ปรากฏการณ์	REVIEW	praː˧kot̚˨˩kaːn˧	praː˧kot̚˨˩kaːn˧ | praː˧kot̚˨˩ta˨˩kaːn˧		
3931	จักรวาล	sandhi	tɕak̚˨˩kra˨˩waːn˧	tɕak̚˨˩kra˨˩waːn˧ | tɕak̚˨˩kra˨˩waː˧la˦˥		
3891	แบน	vowel-length	bɛːn˧	bɛn˧ | bɛːn˧		
3873	ฮ	sandhi	hɔː˧	hɔː˧ | hɔː˧nok̚˦˥huːk̚˥˩		
3838	สามัญ	sandhi	saː˩˩˦man˧	saː˩˩˦man˧ | saː˩˩˦man˧ja˦˥		
3837	ฯลฯ	REVIEW		laʔ˦˥ | la˦˥tʰɯŋ˩˩˦ | lɛʔ˦˥ʔɯːn˨˩ʔɯːn˨˩		
3834	ญ	sandhi	jɔː˧	jɔː˧ | jɔː˧jiŋ˩˩˦		
3830	มิตร	sandhi	mit̚˦˥	mit̚˦˥ | mit̚˦˥tra˨˩		
3808	ประมุข	sandhi	pra˨˩muk̚˦˥	pra˨˩muk̚˦˥ | pra˨˩muk̚˦˥kʰa˨˩		
3798	จักร	sandhi	tɕak̚˨˩	tɕak̚˨˩ | tɕak̚˨˩kra˨˩		
3769	ดิจิทัล	tone-only	di˦˥tɕi˨˩tʰal˥˩	di˦˥tɕi˨˩tʰal˥˩ | di˨˩tɕi˨˩tʰal˥˩		
3736	แก๊ส	REVIEW	kɛːt̚˦˥	kɛːs˦˥ | kɛːt̚˦˥		
3720	มุข	sandhi	muk̚˦˥	muk̚˦˥ | muk̚˦˥kʰa˨˩		
3644	ยาม	sandhi	jaːm˧	jaːm˧ | jaː˧ma˦˥		
3624	พรหม	sandhi	pʰrom˧	pʰrom˧ | pʰrom˧ma˦˥		
3546	น้ำตาล	vowel-length	naːm˦˥taːn˧	nam˦˥taːn˧ | naːm˦˥taːn˧		
3525	ไมล์	vowel-length	maj˧	maj˧ | maːj˧		
3488	กาล	sandhi	kaːn˧	kaːn˧ | kaː˧la˦˥		
3459	เอ็กซ์	REVIEW	ʔek̚˦˥	ʔek̚s˦˥ | ʔek̚˦˥		
3420	สปีชีส์	REVIEW	sa˨˩piː˧tɕʰiː˥˩	sa˨˩piː˧tɕʰiːs˥˩ | sa˨˩piː˧tɕʰiː˥˩		
3416	โซล	REVIEW	soːl˧	soːl˧ | soːn˧		
3385	บวร	letter-names	bɔː˧wɔːn˧	bɔː˧wɔːn˧ | bɔː˧wɔː˧ra˦˥		
3360	สังคมนิยม	REVIEW	saŋ˩˩˦kʰom˧ni˦˥jom˧	saŋ˩˩˦kʰom˧ma˦˥ni˦˥jom˧ | saŋ˩˩˦kʰom˧ni˦˥jom˧		
3331	เน็ต	tone-only	net̚˨˩	net̚˦˥ | net̚˨˩		
3277	ชวน	REVIEW	tɕʰuan˧	tɕʰa˦˥wa˦˥na˦˥ | tɕʰua̯n˧		
3226	เช้า	vowel-length	tɕʰaw˦˥	tɕʰaw˦˥ | tɕʰaːw˦˥		
3225	ซอฟต์แวร์	REVIEW	sɔːp̚˦˥wɛː˧	sɔːf˦˥wɛː˧ | sɔːp̚˦˥wɛː˧		
3194	เลก	vowel-length	leːk̚˥˩	lek̚˦˥ | leːk̚˥˩		
3183	ทาส	sandhi	tʰaːt̚˥˩	tʰaːt̚˥˩ | tʰaːt̚˥˩sa˨˩		
