dan	d a n
terdiri	t ə r d i r i
sekarang	s k a r a ŋ
daftar	d a f t a r
jalan	d͡ʒ a l a n
jiwa	d͡ʒ i w a
sebelum	s ə b ə l u m
d	d
udara	u d a r a
pemain	p ə m a i n
menurut	m ə n u r u t
luas	l u a s
melakukan	m ə l a k u k a n
de	d e
jakarta	d͡ʒ a k a r t a
lihat	l i h a t
sementara	s ə m ə n t a r a
sering	s ə r i ŋ
manusia	m a n u s i a
mana	m a n a
situs	s i t u s
c	s e
setiap	s ə t i a p
seluruh	s ə l u r u h
kepala	k ə p a l a
harus	h a r u s
akhirnya	a h i r ɲ a
ibu	i b u
dilakukan	d i l a k u k a n
maka	m a k a
bernama	b ə r n a m a
diri	d i r i
islam	i s l a m
jenis	d͡ʒ ə n i s
berasal	b ə r a s a l
lagi	l a ɡ i
kata	k a t a
berhasil	b ə r h a s i l
bentuk	b ə n t u ʔ
suku	s u k u
akhir	a h i r
agama	a ɡ a m a
menteri	m ə n t r i
eropa	e r o p a
berdasarkan	b ə r d a s a r k a n
gereja	ɡ ə r e d͡ʒ a
adr	a d e e r
bola	b o l a
lalu	l a l u
internasional	i n t ə r n a s i o n a l
no	e n o
hidup	h i d u p
pasukan	p a s u k a n
meskipun	m ə s k i p u n
b	b
sebelumnya	s ə b ə l u m ɲ a
sebelah	s ə b ə l a h
tak	t a k
sedangkan	s ə d a ŋ k a n
jika	d͡ʒ i k a
program	p r o ɡ r a m
hasil	h a s i l
h	h
ekonomi	e k o n o m i
biasanya	b i a s a ɲ a
kelurahan	k ə l u r a h a n
kelompok	k ə l o m p o k
pesawat	p ə s a w a t
keluarga	k ə l u a r ɡ a
hukum	h u k u m
republik	r e p u b l i k
tetap	t ə t a p
n	e n
memberikan	m ə m b ə r i k a n
politik	p o l i t i k
pun	p u n
bidang	b i d a ŋ
gunung	ɡ u n u ŋ
r	r
militer	m i l i t ə r
karya	k a r j a
tingkat	t i ŋ k a t
lama	l a m a
mempunyai	m ə m p u ɲ a i
ilmu	i l m u
maupun	m a u p u n
proses	p r o s e s
sumber	s u m b ə r
stasiun	s t a s i u n
partai	p a r t a j
f	e f
raya	r a j a
desember	d e s e m b ə r
terkenal	t ə r k ə n a l
tanpa	t a n p a
berikut	b ə r i k u t
mencapai	m ə n t͡ʃ a p a j
empat	ə m p a t
oktober	o k t o b ə r
september	s e p t e m b ə r
to	t e o
kapal	k a p a l
sebesar	s ə b ə s a r
buku	b u k u
masuk	m a s u k
mengenai	m ə ŋ ə n a j
berbeda	b ə r b e d a
agustus	a ɡ u s t u s
suara	s u a r a
maret	m a r ə t
mei	m e j
bumi	b u m i
dusun	d u s u n
italia	i t a l i a
sebanyak	s ə b a ɲ a k
api	a p e i
april	a p r i l
jalur	d͡ʒ a l u r
bintang	b i n t a ŋ
januari	d͡ʒ a n u a r i
zaman	z a m a n
juta	d͡ʒ u t a
langsung	l a ŋ s u ŋ
l	e l
bahan	b a h a n
kereta	k ə r e t a
agar	a ɡ a r
terakhir	t ə r a h i r
penting	p ə n t i ŋ
dianggap	d i a ŋ ɡ a p
juni	d͡ʒ u n i
november	n o v e m b ə r
alam	a l a m
sepak	s e p a k
juli	d͡ʒ u l i
rakyat	r a k j a t
budaya	b u d a j a
televisi	t e l e v i s i
muncul	m u n t͡ʃ u l
cara	t͡ʃ a r a
as	a e s
orang-orang	o r a ŋ o r a ŋ
mengalami	m ə ŋ a l a m i
grup	ɡ r u p
organisasi	o r ɡ a n i s a s i
gelar	ɡ ə l a r
terbesar	t ə r b ə s a r
sedang	s ə d a ŋ
angkatan	a ŋ k a t a n
panjang	p a n d͡ʒ a ŋ
acara	a t͡ʃ a r a
sejumlah	s ə d͡ʒ u m l a h
menyatakan	m ə ɲ a t a k a n
dasar	d a s a r
berarti	b ə r a r t i
asia	a s i a
on	o n
versi	v e r s i
cukup	t͡ʃ u k u p
terutama	t ə r u t a m a
bekerja	b ə k ə r d͡ʒ a
saja	s a d͡ʒ a
tiongkok	t i o ŋ k o k
kehidupan	k ə h i d u p a n
didirikan	d i d i r i k a n
ditemukan	d i t ə m u k a n
penghargaan	p ə ŋ h a r ɡ a a n
bahkan	b a h k a n
membentuk	m ə m b ə n t u k
data	d a t a
khusus	x u s u s
bangsa	b a ŋ s a
lahir	l a h i r
piala	p i a l a
yakni	j a ʔ n i
mungkin	m u ŋ k i n
asal	a s a l
industri	i n d u s t r i
hubungan	h u b u ŋ a n
kawasan	k a w a s a n
t	t
india	i n d i a
posisi	p o s i s i
umumnya	u m u m ɲ a
istilah	i s t i l a h
dibuat	d i b u a t
mendapatkan	m ə n d a p a t k a n
meninggal	m ə n i ŋ ɡ a l
ketiga	k ə t i ɡ a
sosial	s o s i a l
dekat	d e k a t
wanita	w a n i t a
bukan	b u k a n
e	e
distrik	d i s t r i k
produksi	p r o d u k s i
menyebabkan	m ə ɲ ə b a b k a n
tentara	t ə n t a r a
catatan	t͡ʃ a t a t a n
nomor	n o m o r
pantai	p a n t a j
pasar	p a s a r
februari	f e b r u a r i
periode	p e r i o d e
menerima	m ə n ə r i m a
pembangunan	p ə m b a ŋ u n a n
tv	t e v e
menghasilkan	m ə ŋ h a s i l k a n
perempuan	p ə r ə m p u a n
lima	l i m a
kaki	k a k i
terbaik	t ə r b a i ʔ
k	k
belum	b l u m
pertempuran	p ə r t ə m p u r a n
p	p
dewan	d e w a n
menunjukkan	m ə n u n d͡ʒ u k a n
tinggal	t i ŋ ɡ a l
rusia	r u s i a
sultan	s u l t a n
melawan	m ə l a w a n
pihak	p i h a k
makanan	m a k a n a n
badan	b a d a n
kalimantan	k a l i m a n t a n
bangunan	b a ŋ u n a n
penerbangan	p ə n ə r b a ŋ a n
allah	a l a h
j	d͡ʒ
biasa	b i a s a
kristen	k r i s t ə n
peristiwa	p ə r i s t i w a
batu	b a t u
hampir	h a m p i r
ketua	k ə t u a
mesin	m ə s i n
sepanjang	s ə p a n d͡ʒ a ŋ
teknologi	t e k n o l o ɡ i
g	ɡ
putra	p u t r a
surat	s u r a t
akibat	a k i b a t
penyanyi	p ə ɲ a ɲ i
kerja	k ə r d͡ʒ a
permainan	p ə r m a i n a n
kematian	k ə m a t i a n
buah	b u a h
mata	m a t a
warga	w a r ɡ a
misalnya	m i s a l ɲ a
dirilis	d i r i l i s
cerita	t͡ʃ ə r i t a
britania	b e e r i t a n i a
perubahan	p ə r u b a h a n
video	v i d e o
informasi	i n f o r m a s i
adanya	a d a ɲ a
daya	d a j a
demikian	d ə m i k i a n
tertentu	t ə r t ə n t u
jauh	d͡ʒ a u h
penggunaan	p ə ŋ ɡ u n a a n
mendapat	m ə n d a p a t
australia	a u s t r a l i a
v	v
kelas	k ə l a s
sang	s a ŋ
operasi	o p ə r a s i
sesuai	s ə s u a j
kurang	k u r a ŋ
muda	m u d a
kini	k i n i
hutan	h u t a n
bin	b i n
seni	s ə n i
arab	a r a b
x	e k s
pemimpin	p ə m i m p i n
jaringan	d͡ʒ a r i ŋ a n
dimulai	d i m u l a i
klub	k l u p
bandar	b a n d a r
katolik	k a t o l i k
rendah	r ə n d a h
teknik	t e k n i k
berupa	b ə r u p a
o	o
menuju	m ə n u d͡ʒ u
korea	k o r e a
merah	m e r a h
kegiatan	k ə ɡ i a t a n
per	p e r
lingkungan	l i ŋ k u ŋ a n
putih	p u t i h
tujuan	t u d͡ʒ u a n
pt	p e t e
kepulauan	k ə p u l a w a n
modern	m o d e r n
masalah	m a s a l a h
liga	l i ɡ a
daripada	d a r i p a d a
bermain	b ə r m a i n
kaisar	k a j s a r
bergabung	b ə r ɡ a b u ŋ
mengambil	m ə ŋ a m b i l
taman	t a m a n
pangeran	p a ŋ e r a n
yunani	j u n a n i
pertanian	p ə r t a n i a n
semakin	s ə m a k i n
awalnya	a w a l ɲ a
juara	d͡ʒ u a r a
terus	t ə r u s
media	m e d i a
kekuasaan	k ə k u a s a a n
model	m o d e l
kita	k i t a
mampu	m a m p u
mobil	m o b i l
sedikit	s ə d i k i t
dibangun	d i b a ŋ u n
serangan	s ə r a ŋ a n
contoh	t͡ʃ o n t o h
agung	a ɡ u ŋ
al	a l
kantor	k a n t o r
spanyol	s p a ɲ o l
cinta	t͡ʃ i n t a
perdana	p ə r d a n a
walaupun	w a l a w p u n
afrika	a f r i k a
perjanjian	p ə r d͡ʒ a n d͡ʒ i a n
ialah	i a l a h
muhammad	m u h a m m a d
melihat	m ə l i h a t
mantan	m a n t a n
jenderal	d͡ʒ e n d ə r a l
lembaga	l ə m b a ɡ a
mengatakan	m ə ŋ a t a k a n
web	w e b
kesehatan	k ə s e h a t a n
dirinya	d i r i ɲ a
seri	s e r i
selalu	s ə l a l u
bandung	b a n d u ŋ
nilai	n i l a j
jam	d͡ʒ a m
depan	d ə p a n
diberikan	d i b ə r i k a n
bank	b a ŋ
putri	p u t r i
asli	a s l i
kimia	k i m i a
kekuatan	k ə k u a t a n
menulis	m ə n u l i s
pertandingan	p ə r t a n d i ŋ a n
gerakan	ɡ ə r a k a n
unit	u n i t
usia	u s i a
la	l a
berkembang	b ə r k ə m b a ŋ
kondisi	k o n d i s i
membantu	m ə m b a n t u
wakil	w a k i l
ruang	r u a ŋ
kaum	k a u m
membawa	m ə m b a w a
gaya	ɡ a j a
produk	p r o d a k
w	w
permukaan	p ə r m u k a a n
warna	w a r n a
malaysia	m a l a j s i a
usaha	u s a h a
kampung	k a m p u ŋ
wisata	w i s a t a
datang	d a t a ŋ
radio	r a d i o
masjid	m a s d͡ʒ i d
penulis	p ə n u l i s
hak	h a ʔ
sm	s m
tangan	t a ŋ a n
selanjutnya	s ə l a n d͡ʒ u t ɲ a
karakter	k a r a k t ə r
batas	b a t a s
gubernur	ɡ u b ə r n u r
panas	p a n a s
serial	s ə r i a l
diketahui	d i k ə t a h u i
tubuh	t u b u h
milik	m i l i k
belakang	b ə l a k a ŋ
keturunan	k ə t u r u n a n
keadaan	k ə a d a a n
aceh	a t͡ʃ e h
komputer	k o m p u t ə r
arah	a r a h
apa	a p a
berbatasan	b ə r b a t a s a n
alat	a l a t
isbn	i s b n
kuno	k u n o
pemeran	p ə m ə r a n
penyakit	p ə ɲ a k i t
diberi	d i b ə r i
ahli	a h l i
meliputi	m ə l i p u t i
yogyakarta	j o ɡ j a k a r t a
struktur	s t r u k t u r
tanaman	t a n a m a n
populasi	p o p u l a s i
ingin	ʔ i ŋ i n
kuat	k u a t
malam	m a l a m
listrik	l i s t r i k
dr	d r
cepat	t͡ʃ ə p a t
kitab	k i t a b
sel	s e l
jarak	d͡ʒ a r a k
garis	ɡ a r i s
mendirikan	m ə n d i r i k a n
paus	p a u s
energi	e n e r ɡ i
perjalanan	p ə r d͡ʒ a l a n a n
fakultas	f a k u l t a s
sakit	s a k i t
menjabat	m ə n d͡ʒ a b a t
hewan	h e w a n
berubah	b ə r u b a h
sulawesi	s u l a w e s i
mengikuti	m ə ŋ i k u t i
fungsi	f u ŋ s i
perkembangan	p ə r k ə m b a ŋ a n
berjudul	b ə r d͡ʒ u d u l
dipimpin	d i p i m p i n
perangkat	p ə r a ŋ k a t
laki-laki	l a k i l a k i
sekali	s ə k a l i
olahraga	o l a h r a ɡ a
studi	s t u d i
yahudi	j a h u d i
lokasi	l o k a s i
meter	m e t ə r
at	a t
tua	t u a
perdagangan	p ə r d a ɡ a ŋ a n
tradisional	t r a d i s i o n a l
uang	u a ŋ
teori	t e o r i
episode	e p i s o d e
komune	k o m u n ə
karier	k a r i ə r
tenggara	t ə ŋ ɡ a r a
menemukan	m ə n ə m u k a n
ditulis	d i t u l i s
memenangkan	m ə m e n a ŋ k a n
spesies	s p e s i e s
sisi	s i s i
kelahiran	k ə l a h i r a n
kode	k o d ə
peran	p ə r a n
berikutnya	b ə r i k u t ɲ a
ikan	i k a n
sma	e s e m a
uni	u n i
penelitian	p ə n ə l i t i a n
hitam	h i t a m
sd	s d
senjata	s ə n d͡ʒ a t a
lokal	l o k a l
kekaisaran	k ə k a j s a r a n
pemilihan	p ə m i l i h a n
istana	i s t a n a
tertinggi	t ə r t i ŋ ɡ i
departemen	d ə p a r t ə m e n
pengembangan	p ə ŋ ə m b a ŋ a n
guru	ɡ u r u
london	l o n d o n
dinasti	d i n a s t i
israel	i s r a ə l
layanan	l a j a n a n
jabatan	d͡ʒ a b a t a n
museum	m u s e u m
ayahnya	a j a h ɲ a
membangun	m ə m b a ŋ u n
meninggalkan	m ə n i ŋ ɡ a l k a n
begitu	b ə ɡ i t u
aku	a k u
emas	ə m a s
asam	a s a m
mati	m a t i
mendukung	m ə n d u k u ŋ
si	e s i
van	v a n
pribadi	p r i b a d i
total	t o t a l
gedung	ɡ ə d u ŋ
bali	b a l i
sempat	s ə m p a t
titik	t i t i k
romawi	r o m a w i
memilih	m ə m i l i h
populer	p o p u l e r
pohon	p o h o n
kemampuan	k ə m a m p u a n
memberi	m ə m b ə r i
mudah	m u d a h
berlangsung	b ə r l a ŋ s u ŋ
berat	b ə r a t
bandara	b a n d a r a
sumatera	s u m a t r a
center	t͡ʃ ə n t e r
keputusan	k ə p u t u s a n
sebenarnya	s ə b ə n a r ɲ a
bebas	b e b a s
keluar	k ə l u a r
bisnis	b i s n i s
kayu	k a j u
jadi	d͡ʒ a d i
meningkatkan	m ə n i ŋ k a t k a n
keduanya	k ə d u a ɲ a
kemerdekaan	k ə m ə r d e k a a n
memulai	m u l a i
berwarna	b ə r w a r n a
melayu	m ə l a j u
dipakai	d i p a k a j
hujan	h u d͡ʒ a n
dewa	d e w a
enam	n a m
tni	t e ʔ e n ʔ i
keuangan	k e u a ŋ a n
menikah	m ə n i k a h
paris	p a r i s
darat	d a r a t
dimana	d i m a n a
tuhan	t u h a n
kebanyakan	k ə b a ɲ a k a n
antaranya	a n t a r a ɲ a
memutuskan	m ə m u t u s k a n
memperoleh	m ə m p ə r o l e h
bila	b i l a
aktor	a k t o r
tugas	t u ɡ a s
pergi	p ə r ɡ i
saya	s a j a
kisah	k i s a h
mesir	m ə s i r
mencari	m ə n t͡ʃ a r i
minyak	m i ɲ a ʔ
pertengahan	p ə r t e ŋ a h a n
unsur	u n s u r
suci	s u t͡ʃ i
maskapai	m a s k a p a j
jatuh	d͡ʒ a t u h
bantuan	b a n t u a n
ulang	u l a ŋ
gas	ɡ a s
anak-anak	a n a k a n a k
mahasiswa	m a h a s i s w a
divisi	d i v i s i
dibentuk	d i b ə n t u k
sekaligus	s ə k a l i ɡ u s
burung	b u r u ŋ
roma	r o m a
negara-negara	n ə ɡ a r a n ə ɡ a r a
u	u
kasus	k a s u s
penuh	p ə n u h
proyek	p r o j e k
berdiri	b ə r d i r i
rata-rata	r a t a r a t a
st	s t
dibandingkan	d i b a n d i ŋ k a n
suhu	s u h u
medan	m e d a n
mengandung	m ə ŋ a n d u ŋ
drama	d r a m a
aliran	a l i r a n
kemungkinan	k ə m u ŋ k i n a n
aktif	a k t i f
standar	s t a n d a r
undang-undang	u n d a ŋ u n d a ŋ
yesus	j e s u s
menarik	m ə n a r i k
metode	m e t o d ə
bersifat	b ə r s i f a t
tradisi	t r a d i s i
final	f i n a l
khas	x a s
belajar	b ə l a d͡ʒ a r
hati	h a t i
sana	s a n a
pengaruh	p ə ŋ a r u h
surabaya	s u r a b a j a
muslim	m u s l i m
matahari	m a t a h a r i
umat	u m a t
ratu	r a t u
era	e r a
publik	p u b l i k
namanya	n a m a ɲ a
meraih	m ə r a i h
kami	k a m i
tangga	t a ŋ ɡ a
rasa	r a s a
istri	i s t r i
kebijakan	k ə b i d͡ʒ a k a n
meminta	m ə m i n t a
kulit	k u l i t
menolak	m ə n o l a k
seseorang	s ə s ə o r a ŋ
bertemu	b ə r t ə m u
fasilitas	f a s i l i t a s
darah	d a r a h
ikut	i k u t
ha	h a
keras	k ə r a s
sastra	s a s t r a
diambil	d i a m b i l
segera	s ə ɡ ə r a
danau	d a n a w
lapangan	l a p a ŋ a n
terlihat	t ə r l i h a t
satu-satunya	s a t u s a t u ɲ a
super	s u p ə r
diterbitkan	d i t ə r b i t k a n
lahan	l a h a n
menengah	m ə n ə ŋ a h
pelabuhan	p ə l a b u h a n
konsep	k o n s ə p
hindia	h i n d i a
berakhir	b ə r a h i r
menyerang	m ə ɲ ə r a ŋ
kesultanan	k ə s u l t a n a n
kanada	k a n a d a
pertahanan	p ə r t a h a n a n
khususnya	x u s u s ɲ a
mengubah	m ə ŋ u b a h
pembagian	p ə m b a ɡ i a n
pekerjaan	p e k ə r d͡ʒ a a n
pengetahuan	p ə ŋ ə t a h u a n
minggu	m i ŋ ɡ u
mirip	m i r i p
tumbuhan	t u m b u h a n
logam	l o ɡ a m
berisi	b ə r i s i
mengembangkan	m ə ŋ ə m b a ŋ k a n
berbentuk	b ə r b ə n t u k
angka	a ŋ k a
berusaha	b ə r u s a h a
harga	h a r ɡ a
pimpinan	p i m p i n a n
komunikasi	k o m u n i k a s i
pegunungan	p ə ɡ u n u ŋ a n
sunda	s u n d a
rencana	r ə n t͡ʃ a n a
pindah	p i n d a h
tenaga	t ə n a ɡ a
berita	b ə r i t a
terbuka	t ə r b u k a
huruf	h u r u f
transportasi	t r a n s p o r t a s i
rt	r t
penguasa	p ə ŋ u a s a
pembentukan	p ə m b ə n t u k a n
kebudayaan	k ə b u d a j a a n
saudara	s a w d a r a
menggantikan	m ə ŋ ɡ a n t i k a n
stadion	s t a d i o n
peringkat	p ə r i ŋ k a t
terkait	t ə r k a i t
dahulu	d a h u l u
perbedaan	p ə r b e d a ʔ a n
dijadikan	d i d͡ʒ a d i k a n
banjar	b a n d͡ʒ a r
mayoritas	m a j o r i t a s
majalah	m a d͡ʒ a l a h
penumpang	p ə n u m p a ŋ
bunga	b u ŋ a
festival	f e s t i v a l
sifat	s i f a t
status	s t a t u s
komunitas	k o m u n i t a s
tambahan	t a m b a h a n
ri	e r i
kecepatan	k ə t͡ʃ ə p a t a n
merasa	m ə r a s a
diadakan	d i a d a k a n
bakar	b a k a r
gagal	ɡ a ɡ a l
pria	p r i a
diangkat	d i a ŋ k a t
tujuh	t u d͡ʒ u h
tampil	t a m p i l
ketinggian	k ə t i ŋ ɡ i a n
aktris	a k t r i s
mencakup	m ə n t͡ʃ a k u p
tata	t a t a
internet	i n t ə r n e t
memimpin	m ə m i m p i n
bekas	b ə k a s
kemenangan	k ə m ə n a ŋ a n
latin	l a t i n
barang	b a r a ŋ
cabang	t͡ʃ a b a ŋ
id	i d
tanda	t a n d a
adat	a d a t
terbang	t ə r b a ŋ
cahaya	t͡ʃ a h a j a
manajemen	m a n a d͡ʒ ə m e n
memungkinkan	m ə m u ŋ k i n k a n
pengguna	p ə ŋ ɡ u n a
ukuran	u k u r a n
reaksi	r e a k s i
administrasi	a d m i n i s t r a s i
massa	m a s s a
terpilih	t ə r p i l i h
jelas	d͡ʒ ə l a s
kendaraan	k ə n d a r a a n
gambar	ɡ a m b a r
terlalu	t ə r l a l u
asing	a s i ŋ
ayah	a j a h
pembalap	p ə m b a l a p
gol	ɡ o l
menciptakan	m ə n t͡ʃ i p t a k a n
perguruan	p ə r ɡ u r u a n
bergerak	b ə r ɡ ə r a k
keamanan	k ə a m a n a n
saham	s a h a m
dingin	d i ŋ i n
kejuaraan	k ə d͡ʒ u a r a a n
apabila	a p a b i l a
area	a r e a
pos	p o s
tionghoa	t i o ŋ h o a
segala	s ə ɡ a l a
tanjung	t a n d͡ʒ u ŋ
peraturan	p ə r a t u r a n
fifa	f i f a
puncak	p u n t͡ʃ a k
keempat	k ə ə m p a t
petani	p ə t a n i
bukit	b u k i t
smp	e s e m p e
mengalahkan	m ə ŋ a l a h k a n
perlu	p ə r l u
tumbuh	t u m b u h
dibagi	d i b a ɡ i
polandia	p o l a n d i a
novel	n o v e l
en	e n
berjalan	b ə r d͡ʒ a l a n
papua	p a p u a
efek	e f e k
atom	a t o m
upaya	u p a j a
ali	a l i
kalangan	k a l a ŋ a n
upacara	u p a t͡ʃ a r a
objek	o b d͡ʒ e k
pertamanya	p ə r t a m a ɲ a
mengumumkan	m ə ŋ u m u m k a n
hotel	h o t e l
bupati	b u p a t i
dukuh	d u k u h
pendek	p e n d e k
berjumlah	b ə r d͡ʒ u m l a h
love	l o v ə
terbagi	t ə r b a ɡ i
geografi	ɡ e o ɡ r a f i
diperkirakan	d i p ə r k i r a k a n
sukses	s u k s e s
kompleks	k o m p l e k s
naik	n a i k
alasan	a l a s a n
tunggal	t u ŋ ɡ a l
terlibat	t ə r l i b a t
raden	r a d e n
satuan	s a t u a n
melibatkan	m ə l i b a t k a n
sri	s r i
aktivitas	a k t i p i t a s
rw	r w
tindakan	t i n d a k a n
bertahan	b ə r t a h a n
membuka	m ə m b u k a
ataupun	a t a u p u n
kecuali	k ə t͡ʃ u a l i
polisi	p o l i s i
dimiliki	d i m i l i k i
biaya	b i a j a
pemenang	p ə m e n a ŋ
daun	d a u n
filipina	f i l i p i n a
korban	k o r b a n
senyawa	s ə ɲ a w a
singapura	s i ŋ a p u r a
tepat	t ə p a t
dikembangkan	d i k ə m b a ŋ k a n
sipil	s i p i l
mencoba	m ə n t͡ʃ o b a
turun	t u r u n
disebabkan	d i s ə b a b k a n
hindu	h i n d u
digital	d i d͡ʒ i t a l
diproduksi	d i p r o d u k s i
meski	m ə s k i
mengeluarkan	m ə ŋ ə l u a r k a n
berbasis	b ə r b a s i s
nabi	n a b i
sarana	s a r a n a
pembuatan	p ə m b u a t a n
padang	p a d a ŋ
penduduknya	p ə n d u d u k ɲ a
jembatan	d͡ʒ ə m b a t a n
ujung	u d͡ʒ u ŋ
melanjutkan	m ə l a n d͡ʒ u t k a n
makan	m a k a n
selesai	s ə l ə s a j
turki	t u r k i
american	a m e r i t͡ʃ a n
pintu	p i n t u
olimpiade	o l i m p i a d ə
benda	b ə n d a
pertumbuhan	p ə r t u m b u h a n
lunak	l u n a k
menyebut	m ə ɲ ə b u t
mengetahui	m ə ŋ ə t a h u j
judul	d͡ʒ u d u l
candi	t͡ʃ a n d i
kebutuhan	k ə b u t u h a n
buddha	b u d h a
mengadakan	m ə ŋ a d a k a n
bilangan	b i l a ŋ a n
tapi	t a p i
desain	d e s a i n
william	w i l l i a m
dukungan	d u k u ŋ a n
golongan	ɡ o l o ŋ a n
generasi	ɡ e n ə r a s i
menyediakan	m ə ɲ ə d i a k a n
studio	s t u d i o
administratif	a d m i n i s t r a t i f
bendera	b ə n d e r a
berperan	b ə r p ə r a n
pasangan	p a s a ŋ a n
tersedia	t ə r s ə d i a
merilis	m ə r i l i s
parlemen	p a r l ə m e n
berusia	b ə r u s i a
tipe	t i p ə
merujuk	m ə r u d͡ʒ u k
artinya	a r t i ɲ a
membunuh	m ə m b u n u h
maria	m a r i a
tewas	t e w a s
pabrik	p a b r i k
peningkatan	p ə n i ŋ k a t a n
swasta	s w a s t a
babak	b a b a k
pengadilan	p ə ŋ a d i l a n
tekanan	t ə k a n a n
politikus	p o l i t i k u s
mempertahankan	m ə m p ə r t a h a n k a n
pertemuan	p ə r t ə m u a n
tokyo	t o k j o
http	h t t p
jawab	d͡ʒ a w a b
menampilkan	m ə n a m p i l k a n
saluran	s a l u r a n
saling	s a l i ŋ
ditetapkan	d i t ə t a p k a n
dataran	d a t a r a n
terbentuk	t ə r b ə n t u k
miliar	m i l i a r
terminal	t e r m i n a l
jasa	d͡ʒ a s a
dipilih	d i p i l i h
meningkat	m ə n i ŋ k a t
